t_norm,loss,rel_l2_error
0.0,7.9e-06,1.2
0.009174311926605505,0.00074,0.97
0.01834862385321101,0.0011,0.47
0.027522935779816515,0.0013,0.34
0.03669724770642202,0.00074,0.33
0.045871559633027525,0.00049,0.28
0.05504587155963303,0.0007,0.26
0.06422018348623854,0.00051,0.25
0.07339449541284404,0.00043,0.24
0.08256880733944955,0.00032,0.22
0.09174311926605505,0.00041,0.21
0.10091743119266056,0.00034,0.2
0.11009174311926606,0.00025,0.18
0.11926605504587157,0.00036,0.16
0.12844036697247707,0.00018,0.12
0.13761467889908258,0.00025,0.098
0.14678899082568808,0.00013,0.071
0.1559633027522936,0.00015,0.049
0.1651376146788991,0.00013,0.041
0.1743119266055046,7.8e-05,0.056
0.1834862385321101,9.5e-05,0.032
0.1926605504587156,5.6e-05,0.025
0.2018348623853211,4.9e-05,0.028
0.21100917431192662,4.7e-05,0.02
0.22018348623853212,3.7e-05,0.02
0.22935779816513763,3.5e-05,0.021
0.23853211009174313,3.8e-05,0.021
0.24770642201834864,2.8e-05,0.016
0.25688073394495414,2.3e-05,0.015
0.26605504587155965,2.6e-05,0.014
0.27522935779816515,1.3e-05,0.011
0.28440366972477066,2.3e-05,0.014
0.29357798165137616,1.9e-05,0.014
0.30275229357798167,1.7e-05,0.013
0.3119266055045872,2.3e-05,0.014
0.3211009174311927,1.8e-05,0.017
0.3302752293577982,1e-05,0.017
0.3394495412844037,1.1e-05,0.01
0.3486238532110092,9.3e-06,0.011
0.3577981651376147,1.5e-05,0.014
0.3669724770642202,1.8e-05,0.015
0.3761467889908257,1.3e-05,0.023
0.3853211009174312,9.6e-06,0.019
0.3944954128440367,1.1e-05,0.014
0.4036697247706422,1.6e-05,0.021
0.41284403669724773,1.4e-05,0.0094
0.42201834862385323,8e-06,0.014
0.43119266055045874,1.3e-05,0.015
0.44036697247706424,1.1e-05,0.013
0.44954128440366975,6.9e-06,0.01
0.45871559633027525,9.8e-06,0.012
0.46788990825688076,6.2e-06,0.011
0.47706422018348627,1.1e-05,0.014
0.48623853211009177,6.4e-06,0.011
0.4954128440366973,5.2e-06,0.011
0.5045871559633027,5e-06,0.01
0.5137614678899083,6.9e-06,0.013
0.5229357798165137,6.4e-06,0.012
0.5321100917431193,6.7e-06,0.0078
0.5412844036697247,1.3e-05,0.0084
0.5504587155963303,5.8e-06,0.016
0.5596330275229358,4.3e-06,0.011
0.5688073394495413,6.7e-06,0.0062
0.5779816513761468,3.8e-06,0.0091
0.5871559633027523,4.9e-06,0.011
0.5963302752293578,5.3e-06,0.01
0.6055045871559633,4.8e-06,0.0063
0.6146788990825688,3.9e-06,0.009
0.6238532110091743,6.3e-06,0.0098
0.6330275229357798,2.9e-06,0.0062
0.6422018348623854,8.2e-06,0.0074
0.6513761467889908,3.3e-06,0.0091
0.6605504587155964,5.4e-06,0.014
0.6697247706422018,6.3e-06,0.012
0.6788990825688074,3.7e-06,0.0071
0.6880733944954128,3e-06,0.014
0.6972477064220184,6e-06,0.011
0.7064220183486238,3.6e-06,0.0085
0.7155963302752294,3.8e-06,0.0072
0.7247706422018348,2.7e-06,0.005
0.7339449541284404,3.1e-06,0.0078
0.7431192660550459,1.5e-05,0.016
0.7522935779816514,3.3e-06,0.0064
0.7614678899082569,1.8e-06,0.0078
0.7706422018348624,2.6e-06,0.0097
0.7798165137614679,3.3e-06,0.0081
0.7889908256880734,2.5e-06,0.0097
0.7981651376146789,3.5e-06,0.0052
0.8073394495412844,3.3e-06,0.006
0.8165137614678899,2.2e-06,0.0073
0.8256880733944955,4.9e-06,0.0089
0.8348623853211009,5.4e-06,0.0034
0.8440366972477065,3.9e-06,0.0062
0.8532110091743119,1.6e-06,0.0071
0.8623853211009175,2.6e-06,0.0076
0.8715596330275229,4.4e-06,0.0087
0.8807339449541285,2.4e-06,0.0058
0.8899082568807339,5.8e-06,0.012
0.8990825688073395,3.3e-06,0.0076
0.908256880733945,2.4e-06,0.0044
0.9174311926605505,5.268927e-06,
0.9175229357798165,3.755888e-06,0.006880248
0.926605504587156,1.265078e-06,0.003003873
0.9357798165137615,8.268961e-07,0.002312086
0.944954128440367,4.753365e-07,0.001864496
0.9541284403669725,2.613957e-07,0.001348933
0.963302752293578,1.629587e-07,0.001154868
0.9724770642201835,1.026339e-07,0.001004742
0.981651376146789,7.534737e-08,0.0008588647
0.9908256880733946,6.28829e-08,0.0007472336
1.0,5.666702e-08,0.0006678547
