iteration,loss,rel_l2_error
0.0,2.3e-05,1.0
100.0,0.00043,0.95
200.0,0.0024,0.41
300.0,0.00081,0.35
400.0,0.00081,0.35
500.0,0.00076,0.34
600.0,0.00054,0.32
700.0,0.00052,0.31
800.0,0.00028,0.29
900.0,0.00029,0.28
1000.0,0.00034,0.25
1100.0,0.00027,0.23
1200.0,0.00032,0.21
1300.0,0.00049,0.19
1400.0,0.00026,0.17
1500.0,0.00042,0.16
1600.0,0.00046,0.14
1700.0,0.00042,0.14
1800.0,0.00038,0.11
1900.0,0.00058,0.1
2000.0,0.0003,0.085
2100.0,0.00025,0.083
2200.0,0.00025,0.057
2300.0,0.00017,0.052
2400.0,9.2e-05,0.055
2500.0,7.6e-05,0.043
2600.0,0.00014,0.035
2700.0,0.00011,0.036
2800.0,8.2e-05,0.041
2900.0,3.3e-05,0.029
3000.0,4e-05,0.039
3100.0,2.7e-05,0.025
3200.0,5.7e-05,0.028
3300.0,2.7e-05,0.033
3400.0,2.8e-05,0.025
3500.0,2.5e-05,0.03
3600.0,1.8e-05,0.028
3700.0,4.4e-05,0.025
3800.0,2.5e-05,0.022
3900.0,3.3e-05,0.018
4000.0,2e-05,0.02
4100.0,2.1e-05,0.019
4200.0,1.4e-05,0.019
4300.0,2.1e-05,0.023
4400.0,2.9e-05,0.015
4500.0,1.7e-05,0.021
4600.0,2.1e-05,0.013
4700.0,1.2e-05,0.016
4800.0,1.3e-05,0.016
4900.0,1.5e-05,0.016
5000.0,1.3e-05,0.018
5100.0,9.7e-06,0.012
5200.0,8.5e-06,0.012
5300.0,1.1e-05,0.021
5400.0,9.4e-06,0.016
5500.0,1.1e-05,0.0074
5600.0,7.5e-06,0.012
5700.0,8.2e-06,0.0096
5800.0,7.5e-06,0.01
5900.0,7.8e-06,0.0099
6000.0,5.9e-06,0.011
6100.0,7.4e-06,0.0081
6200.0,9.9e-06,0.0087
6300.0,7.4e-06,0.0076
6400.0,6.3e-06,0.007
6500.0,7.2e-06,0.0076
6600.0,5.5e-06,0.01
6700.0,1.3e-05,0.011
6800.0,4.4e-06,0.011
6900.0,6.9e-06,0.013
7000.0,6.1e-06,0.0099
7100.0,5.7e-06,0.0075
7200.0,5.1e-06,0.0078
7300.0,3.7e-06,0.015
7400.0,3.7e-06,0.0083
7500.0,4.9e-06,0.011
7600.0,3.2e-06,0.013
7700.0,5.2e-06,0.0085
7800.0,5.6e-06,0.0089
7900.0,6.8e-06,0.012
8000.0,4.5e-06,0.0057
8100.0,4.9e-06,0.011
8200.0,4.7e-06,0.011
8300.0,3.6e-06,0.015
8400.0,5.6e-06,0.0074
8500.0,3.9e-06,0.013
8600.0,3.6e-06,0.006
8700.0,2.6e-06,0.0061
8800.0,2.4e-06,0.0074
8900.0,3.2e-06,0.0094
9000.0,4.6e-06,0.0071
9100.0,3.1e-06,0.011
9200.0,4.9e-06,0.0077
9300.0,3e-06,0.0089
9400.0,4.5e-06,0.0077
9500.0,5.2e-06,0.014
9600.0,4.5e-06,0.015
9700.0,2.2e-06,0.0054
9800.0,2.7e-06,0.0038
9900.0,3e-06,0.011
10001.0,4.140685e-06,0.004110088
10100.0,1.91449e-06,0.003103321
10200.0,1.378646e-06,0.002529423
10300.0,9.359591e-07,0.002173961
10400.0,5.778202e-07,0.001408075
10500.0,4.00772e-07,0.001267191
10600.0,3.108887e-07,0.0008349385
10700.0,2.701858e-07,0.0008948693
10800.0,2.225806e-07,0.0007822072
10900.0,1.795055e-07,0.0007953243
11000.0,1.62373e-07,0.0008305428
11100.0,1.412097e-07,0.0007678018
11200.0,1.207784e-07,0.0006862981
11300.0,1.088425e-07,0.000605559
11400.0,9.092479e-08,0.0005172474
11500.0,8.162496e-08,0.0004691998
11600.0,6.367257e-08,0.000327715
11700.0,5.076403e-08,0.0003454821
11800.0,4.471758e-08,0.0003030037
11900.0,4.099119e-08,0.0002917395
12000.0,3.596449e-08,0.0002948103
12100.0,3.231837e-08,0.0003106732
12200.0,2.819173e-08,0.0002582099
12248.0,2.819173e-08,0.00022579999999999999
