iteration_normalized,iteration,loss,rel_l2_error
0,0,1.9e-05,1.0
0.0093300989,100,0.0021,0.38
0.0186601978,200,0.0022,0.38
0.0279902967,300,0.0019,0.34
0.0373203956,400,0.001,0.31
0.0466504945,500,0.0007,0.28
0.0559805934,600,0.00058,0.25
0.0653106923,700,0.0006,0.23
0.0746407912,800,0.00066,0.2
0.0839708901,900,0.00056,0.2
0.093300989,1000,0.00049,0.16
0.1026310879,1100,0.00058,0.17
0.1119611868,1200,0.0006,0.17
0.1212912857,1300,0.00047,0.14
0.1306213846,1400,0.00044,0.15
0.1399514835,1500,0.00027,0.12
0.1492815824,1600,0.00041,0.12
0.1586116813,1700,0.00023,0.1
0.1679417802,1800,0.0002,0.096
0.1772718791,1900,0.00011,0.087
0.186601978,2000,0.0001,0.082
0.1959320769,2100,6.7e-05,0.084
0.2052621758,2200,0.00011,0.066
0.2145922747,2300,6.9e-05,0.05
0.2239223736,2400,8.2e-05,0.047
0.2332524725,2500,4e-05,0.047
0.2425825714,2600,7.1e-05,0.048
0.2519126703,2700,4.3e-05,0.038
0.2612427692,2800,5e-05,0.03
0.2705728681,2900,3.1e-05,0.028
0.279902967,3000,4.5e-05,0.03
0.2892330659,3100,4.4e-05,0.028
0.2985631648,3200,2.6e-05,0.031
0.3078932637,3300,3.3e-05,0.038
0.3172233626,3400,2.6e-05,0.024
0.3265534615,3500,3.9e-05,0.025
0.3358835604,3600,2e-05,0.023
0.3452136593,3700,2.8e-05,0.025
0.3545437582,3800,1.9e-05,0.025
0.3638738571,3900,2e-05,0.026
0.373203956,4000,1.4e-05,0.023
0.3825340549,4100,3e-05,0.031
0.3918641538,4200,1.9e-05,0.023
0.4011942527,4300,2.1e-05,0.023
0.4105243516,4400,1.1e-05,0.022
0.4198544505,4500,1.3e-05,0.017
0.4291845494,4600,1.3e-05,0.018
0.4385146483,4700,1.9e-05,0.023
0.4478447472,4800,1.2e-05,0.02
0.4571748461,4900,1.1e-05,0.023
0.466504945,5000,1.9e-05,0.031
0.4758350439,5100,1.4e-05,0.018
0.4851651428,5200,1.1e-05,0.019
0.4944952416,5300,1.1e-05,0.018
0.5038253405,5400,1.2e-05,0.017
0.5131554394,5500,9.4e-06,0.017
0.5224855383,5600,8.5e-06,0.02
0.5318156372,5700,9.6e-06,0.015
0.5411457361,5800,9e-06,0.015
0.550475835,5900,6.3e-06,0.015
0.5598059339,6000,8.5e-06,0.015
0.5691360328,6100,1e-05,0.017
0.5784661317,6200,1.1e-05,0.015
0.5877962306,6300,6.1e-06,0.011
0.5971263295,6400,8.7e-06,0.019
0.6064564284,6500,9e-06,0.016
0.6157865273,6600,9e-06,0.012
0.6251166262,6700,9e-06,0.012
0.6344467251,6800,5.6e-06,0.013
0.643776824,6900,8.3e-06,0.0089
0.6531069229,7000,8.9e-06,0.014
0.6624370218,7100,4.3e-06,0.013
0.6717671207,7200,4.7e-06,0.014
0.6810972196,7300,1.1e-05,0.026
0.6904273185,7400,4.2e-06,0.013
0.6997574174,7500,3.4e-06,0.014
0.7090875163,7600,6.2e-06,0.01
0.7184176152,7700,7.1e-06,0.0094
0.7277477141,7800,4.6e-06,0.017
0.737077813,7900,6.5e-06,0.012
0.7464079119,8000,9.3e-06,0.011
0.7557380108,8100,6.8e-06,0.017
0.7650681097,8200,5.3e-06,0.008
0.7743982086,8300,4.6e-06,0.009
0.7837283075,8400,5.5e-06,0.016
0.7930584064,8500,5.5e-06,0.016
0.8023885053,8600,6.9e-06,0.012
0.8117186042,8700,5.7e-06,0.015
0.8210487031,8800,4.8e-06,0.006
0.830378802,8900,5.3e-06,0.012
0.8397089009,9000,5.3e-06,0.0071
0.8490389998,9100,4e-06,0.0063
0.8583690987,9200,9.9e-06,0.014
0.8676991976,9300,4.8e-06,0.0095
0.8770292965,9400,4.5e-06,0.0084
0.8863593954,9500,6.7e-06,0.018
0.8956894943,9600,3.8e-06,0.0093
0.9050195932,9700,3.2e-06,0.012
0.9143496921,9800,7.3e-06,0.0097
0.923679791,9900,5e-06,0.0095
0.9331031909,10001,5.370857e-06,0.006433357
0.9423399888,10100,2.347977e-06,0.002997068
0.9516700877,10200,1.160753e-06,0.002166261
0.9610001866,10300,7.272755e-07,0.001596386
0.9703302855,10400,4.447748e-07,0.001503219
0.9796603844,10500,3.477757e-07,0.001381296
0.9889904833,10600,2.730878e-07,0.001152932
0.9983205822,10700,2.095512e-07,0.001042652
1,10718,2.095512e-07,0.0009954
