iteration,PINN__seed3__loss,PINN__seed20__loss,PINN__seed57__loss,PINN__seed73__loss,PINN__seed88__loss,PINN__seed487__loss,PINN__seed672__loss,PINN__seed954__loss,PINN__seed3407__loss,PINN__seed114514__loss,PINN-RAR__seed3__loss,PINN-RAR__seed20__loss,PINN-RAR__seed57__loss,PINN-RAR__seed73__loss,PINN-RAR__seed88__loss,PINN-RAR__seed487__loss,PINN-RAR__seed672__loss,PINN-RAR__seed954__loss,PINN-RAR__seed3407__loss,PINN-RAR__seed114514__loss,QPINN__seed3__loss,QPINN__seed20__loss,QPINN__seed57__loss,QPINN__seed73__loss,QPINN__seed88__loss,QPINN__seed487__loss,QPINN__seed672__loss,QPINN__seed954__loss,QPINN__seed3407__loss,QPINN__seed114514__loss,QPINN-RAR__seed3__loss,QPINN-RAR__seed20__loss,QPINN-RAR__seed57__loss,QPINN-RAR__seed73__loss,QPINN-RAR__seed88__loss,QPINN-RAR__seed487__loss,QPINN-RAR__seed672__loss,QPINN-RAR__seed954__loss,QPINN-RAR__seed3407__loss,QPINN-RAR__seed114514__loss
0,0.00033,0.21,0.003,0.03,0.022,0.026,0.042,0.061,0.039,0.023,0.00033,0.21,0.003,0.03,0.022,0.026,0.042,0.061,0.039,0.023,6.2e-05,0.00048,0.00014,0.00051,0.00038,7.9e-06,2.3e-05,1.9e-05,0.00011,1e-05,6.2e-05,0.00048,0.00014,0.00051,0.00038,7.9e-06,2.3e-05,1.9e-05,0.00011,1e-05
100,0.00045,0.00036,0.0014,0.0004,0.00084,0.00094,0.0024,0.0022,0.0019,0.00037,0.00045,0.00036,0.0014,0.0004,0.00084,0.00094,0.0024,0.0022,0.0019,0.00037,0.00091,0.00036,0.00055,0.00049,0.00057,0.00074,0.00043,0.0021,0.00029,0.00055,0.00091,0.00036,0.00055,0.00049,0.00057,0.00074,0.00043,0.0021,0.00029,0.00055
200,0.0014,0.0023,0.0014,0.0018,0.0019,0.0016,0.0014,0.0022,0.0019,0.0025,0.0014,0.0023,0.0014,0.0018,0.0019,0.0016,0.0014,0.0022,0.0019,0.0025,0.0016,0.00064,0.0015,0.00055,0.0032,0.0011,0.0024,0.0022,0.0019,0.0015,0.0016,0.00064,0.0015,0.00055,0.0032,0.0011,0.0024,0.0022,0.0019,0.0015
300,0.0013,0.0012,0.0009,0.0014,0.0019,0.0013,0.00087,0.0017,0.0013,0.0017,0.0013,0.0012,0.0009,0.0014,0.0019,0.0013,0.00087,0.0017,0.0013,0.0017,0.002,0.0014,0.0018,0.0018,0.0011,0.0013,0.00081,0.0019,0.0017,0.0022,0.002,0.0014,0.0018,0.0018,0.0011,0.0013,0.00081,0.0019,0.0017,0.0022
400,0.0013,0.0014,0.00065,0.00096,0.0015,0.0012,0.00097,0.0011,0.00073,0.0015,0.0013,0.0014,0.00065,0.00096,0.0015,0.0012,0.00097,0.0011,0.00073,0.0015,0.0016,0.0013,0.00058,0.0014,0.00092,0.00074,0.00081,0.001,0.0011,0.0009,0.0016,0.0013,0.00058,0.0014,0.00092,0.00074,0.00081,0.001,0.0011,0.0009
500,0.001,0.00061,0.00082,0.0014,0.0018,0.00089,0.00088,0.00069,0.00081,0.0021,0.001,0.00061,0.00082,0.0014,0.0018,0.00089,0.00088,0.00069,0.00081,0.0021,0.0013,0.00061,0.0015,0.0016,0.00086,0.00049,0.00076,0.0007,0.00085,0.0008,0.0013,0.00061,0.0015,0.0016,0.00086,0.00049,0.00076,0.0007,0.00085,0.0008
600,0.0011,0.00029,0.00071,0.00058,0.0017,0.00077,0.00086,0.00058,0.00091,0.0023,0.0011,0.00029,0.00071,0.00058,0.0017,0.00077,0.00086,0.00058,0.00091,0.0023,0.001,0.00041,0.00094,0.00088,0.00065,0.0007,0.00054,0.00058,0.00092,0.00062,0.001,0.00041,0.00094,0.00088,0.00065,0.0007,0.00054,0.00058,0.00092,0.00062
700,0.0011,0.00038,0.00068,0.00059,0.00077,0.00051,0.0007,0.00042,0.00048,0.0016,0.0011,0.00038,0.00068,0.00059,0.00077,0.00051,0.0007,0.00042,0.00048,0.0016,0.00077,0.00054,0.00069,0.00058,0.00036,0.00051,0.00052,0.0006,0.00053,0.00064,0.00077,0.00054,0.00069,0.00058,0.00036,0.00051,0.00052,0.0006,0.00053,0.00064
800,0.00095,0.00047,0.00047,0.00046,0.001,0.00043,0.00044,0.00052,0.00058,0.0014,0.00095,0.00047,0.00047,0.00046,0.001,0.00043,0.00044,0.00052,0.00058,0.0014,0.00055,0.0005,0.00062,0.00071,0.0006,0.00043,0.00028,0.00066,0.00062,0.00049,0.00055,0.0005,0.00062,0.00071,0.0006,0.00043,0.00028,0.00066,0.00062,0.00049
900,0.00086,0.00031,0.00041,0.00042,0.00053,0.0003,0.00054,0.00036,0.0005,0.0017,0.00086,0.00031,0.00041,0.00042,0.00053,0.0003,0.00054,0.00036,0.0005,0.0017,0.00046,0.00025,0.00067,0.00052,0.00037,0.00032,0.00029,0.00056,0.00036,0.00062,0.00046,0.00025,0.00067,0.00052,0.00037,0.00032,0.00029,0.00056,0.00036,0.00062
