iteration,PINN__seed3__rel_l2_error,PINN__seed20__rel_l2_error,PINN__seed57__rel_l2_error,PINN__seed73__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed487__rel_l2_error,PINN__seed672__rel_l2_error,PINN__seed954__rel_l2_error,PINN__seed3407__rel_l2_error,PINN__seed114514__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed20__rel_l2_error,PINN-RAR__seed57__rel_l2_error,PINN-RAR__seed73__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed487__rel_l2_error,PINN-RAR__seed672__rel_l2_error,PINN-RAR__seed954__rel_l2_error,PINN-RAR__seed3407__rel_l2_error,PINN-RAR__seed114514__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed20__rel_l2_error,QPINN__seed57__rel_l2_error,QPINN__seed73__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed487__rel_l2_error,QPINN__seed672__rel_l2_error,QPINN__seed954__rel_l2_error,QPINN__seed3407__rel_l2_error,QPINN__seed114514__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed20__rel_l2_error,QPINN-RAR__seed57__rel_l2_error,QPINN-RAR__seed73__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed487__rel_l2_error,QPINN-RAR__seed672__rel_l2_error,QPINN-RAR__seed954__rel_l2_error,QPINN-RAR__seed3407__rel_l2_error,QPINN-RAR__seed114514__rel_l2_error
0,0.86,1.5,1.0,0.96,1.2,0.96,1.2,1.1,1.2,0.82,0.86,1.5,1.0,0.96,1.2,0.96,1.2,1.1,1.2,0.82,1.1,1.6,1.4,1.2,1.0,1.2,1.0,1.0,1.2,1.1,1.1,1.6,1.4,1.2,1.0,1.2,1.0,1.0,1.2,1.1
100,0.97,0.81,0.4,0.95,0.46,0.76,0.41,0.42,0.49,0.87,0.97,0.81,0.4,0.95,0.46,0.76,0.41,0.42,0.49,0.87,0.45,0.98,0.93,0.96,0.97,0.97,0.95,0.38,0.96,0.98,0.45,0.98,0.93,0.96,0.97,0.97,0.95,0.38,0.96,0.98
200,0.54,0.43,0.37,0.38,0.37,0.4,0.4,0.39,0.38,0.43,0.54,0.43,0.37,0.38,0.37,0.4,0.4,0.39,0.38,0.43,0.41,0.96,0.38,0.92,0.45,0.47,0.41,0.38,0.41,0.41,0.41,0.96,0.38,0.92,0.45,0.47,0.41,0.38,0.41,0.41
300,0.42,0.38,0.35,0.37,0.37,0.39,0.39,0.38,0.37,0.38,0.42,0.38,0.35,0.37,0.37,0.39,0.39,0.38,0.37,0.38,0.39,0.47,0.36,0.39,0.38,0.34,0.35,0.34,0.38,0.35,0.39,0.47,0.36,0.39,0.38,0.34,0.35,0.34,0.38,0.35
400,0.39,0.36,0.34,0.36,0.35,0.39,0.38,0.35,0.36,0.38,0.39,0.36,0.34,0.36,0.35,0.39,0.38,0.35,0.36,0.38,0.35,0.33,0.34,0.37,0.35,0.33,0.35,0.31,0.34,0.34,0.35,0.33,0.34,0.37,0.35,0.33,0.35,0.31,0.34,0.34
500,0.37,0.35,0.31,0.37,0.36,0.38,0.36,0.35,0.31,0.37,0.37,0.35,0.31,0.37,0.36,0.38,0.36,0.35,0.31,0.37,0.36,0.29,0.32,0.34,0.34,0.28,0.34,0.28,0.31,0.3,0.36,0.29,0.32,0.34,0.34,0.28,0.34,0.28,0.31,0.3
600,0.35,0.36,0.3,0.35,0.35,0.35,0.33,0.34,0.32,0.38,0.35,0.36,0.3,0.35,0.35,0.35,0.33,0.34,0.32,0.38,0.34,0.28,0.31,0.31,0.32,0.26,0.32,0.25,0.3,0.29,0.34,0.28,0.31,0.31,0.32,0.26,0.32,0.25,0.3,0.29
700,0.36,0.3,0.32,0.32,0.36,0.35,0.31,0.3,0.3,0.36,0.36,0.3,0.32,0.32,0.36,0.35,0.31,0.3,0.3,0.36,0.33,0.25,0.32,0.31,0.3,0.25,0.31,0.23,0.28,0.26,0.33,0.25,0.32,0.31,0.3,0.25,0.31,0.23,0.28,0.26
800,0.35,0.27,0.29,0.3,0.32,0.29,0.28,0.31,0.25,0.38,0.35,0.27,0.29,0.3,0.32,0.29,0.28,0.31,0.25,0.38,0.32,0.22,0.3,0.29,0.28,0.24,0.29,0.2,0.25,0.25,0.32,0.22,0.3,0.29,0.28,0.24,0.29,0.2,0.25,0.25
900,0.35,0.28,0.27,0.31,0.32,0.29,0.26,0.3,0.24,0.39,0.35,0.28,0.27,0.31,0.32,0.29,0.26,0.3,0.24,0.39,0.29,0.17,0.27,0.32,0.24,0.22,0.28,0.2,0.23,0.23,0.29,0.17,0.27,0.32,0.24,0.22,0.28,0.2,0.23,0.23
1000,0.34,0.28,0.24,0.26,0.31,0.3,0.25,0.26,0.21,0.37,0.34,0.28,0.24,0.26,0.31,0.3,0.25,0.26,0.21,0.37,0.27,0.15,0.26,0.24,0.25,0.21,0.25,0.16,0.21,0.21,0.27,0.15,0.26,0.24,0.25,0.21,0.25,0.16,0.21,0.21
1100,0.34,0.24,0.18,0.23,0.3,0.29,0.2,0.26,0.2,0.36,0.34,0.24,0.18,0.23,0.3,0.29,0.2,0.26,0.2,0.36,0.24,0.11,0.2,0.22,0.21,0.2,0.23,0.17,0.19,0.19,0.24,0.11,0.2,0.22,0.21,0.2,0.23,0.17,0.19,0.19
1200,0.35,0.2,0.19,0.23,0.26,0.23,0.17,0.23,0.14,0.35,0.35,0.2,0.19,0.23,0.26,0.23,0.17,0.23,0.14,0.35,0.21,0.096,0.2,0.2,0.18,0.18,0.21,0.17,0.16,0.17,0.21,0.096,0.2,0.2,0.18,0.18,0.21,0.17,0.16,0.17
1300,0.33,0.17,0.14,0.2,0.26,0.24,0.17,0.19,0.12,0.35,0.33,0.17,0.14,0.2,0.26,0.24,0.17,0.19,0.12,0.35,0.17,0.091,0.16,0.17,0.18,0.16,0.19,0.14,0.15,0.15,0.17,0.091,0.16,0.17,0.18,0.16,0.19,0.14,0.15,0.15
1400,0.34,0.14,0.11,0.2,0.26,0.2,0.12,0.19,0.1,0.35,0.34,0.14,0.11,0.2,0.26,0.2,0.12,0.19,0.1,0.35,0.17,0.075,0.12,0.17,0.14,0.12,0.17,0.15,0.14,0.13,0.17,0.075,0.12,0.17,0.14,0.12,0.17,0.15,0.14,0.13
