iteration,DV__seed3__loss,DV__seed3__rel_l2_error,DV__seed20__loss,DV__seed20__rel_l2_error,DV__seed57__loss,DV__seed57__rel_l2_error,DV__seed73__loss,DV__seed73__rel_l2_error,DV__seed88__loss,DV__seed88__rel_l2_error,DV__seed487__loss,DV__seed487__rel_l2_error,DV__seed672__loss,DV__seed672__rel_l2_error,DV__seed954__loss,DV__seed954__rel_l2_error,DV__seed3407__loss,DV__seed3407__rel_l2_error,DV__seed114514__loss,DV__seed114514__rel_l2_error,PINN__seed3__loss,PINN__seed3__rel_l2_error,PINN__seed20__loss,PINN__seed20__rel_l2_error,PINN__seed57__loss,PINN__seed57__rel_l2_error,PINN__seed73__loss,PINN__seed73__rel_l2_error,PINN__seed88__loss,PINN__seed88__rel_l2_error,PINN__seed487__loss,PINN__seed487__rel_l2_error,PINN__seed672__loss,PINN__seed672__rel_l2_error,PINN__seed954__loss,PINN__seed954__rel_l2_error,PINN__seed3407__loss,PINN__seed3407__rel_l2_error,PINN__seed114514__loss,PINN__seed114514__rel_l2_error,pinn-rar-s__seed3__loss,pinn-rar-s__seed3__rel_l2_error,pinn-rar-s__seed20__loss,pinn-rar-s__seed20__rel_l2_error,pinn-rar-s__seed57__loss,pinn-rar-s__seed57__rel_l2_error,pinn-rar-s__seed73__loss,pinn-rar-s__seed73__rel_l2_error,pinn-rar-s__seed88__loss,pinn-rar-s__seed88__rel_l2_error,pinn-rar-s__seed487__loss,pinn-rar-s__seed487__rel_l2_error,pinn-rar-s__seed672__loss,pinn-rar-s__seed672__rel_l2_error,pinn-rar-s__seed954__loss,pinn-rar-s__seed954__rel_l2_error,pinn-rar-s__seed3407__loss,pinn-rar-s__seed3407__rel_l2_error,pinn-rar-s__seed114514__loss,pinn-rar-s__seed114514__rel_l2_error
0,6.2e-05,1.1,0.00048,1.6,0.00014,1.4,0.00051,1.2,0.00038,1.0,7.9e-06,1.2,2.3e-05,1.0,1.9e-05,1.0,0.00011,1.2,1e-05,1.1,0.00033,0.86,0.21,1.5,0.003,1.0,0.03,0.96,0.022,1.2,0.026,0.96,0.042,1.2,0.061,1.1,0.039,1.2,0.023,0.82,0.00033,0.86,0.21,1.5,0.003,1.0,0.03,0.96,0.022,1.2,0.026,0.96,0.042,1.2,0.061,1.1,0.039,1.2,0.023,0.82
100,0.00091,0.45,0.00036,0.98,0.00055,0.93,0.00049,0.96,0.00057,0.97,0.00074,0.97,0.00043,0.95,0.0021,0.38,0.00029,0.96,0.00055,0.98,0.00045,0.97,0.00036,0.81,0.0014,0.4,0.0004,0.95,0.00084,0.46,0.00094,0.76,0.0024,0.41,0.0022,0.42,0.0019,0.49,0.00037,0.87,0.00045,0.97,0.00036,0.81,0.0014,0.4,0.0004,0.95,0.00084,0.46,0.00094,0.76,0.0024,0.41,0.0022,0.42,0.0019,0.49,0.00037,0.87
200,0.0016,0.41,0.00064,0.96,0.0015,0.38,0.00055,0.92,0.0032,0.45,0.0011,0.47,0.0024,0.41,0.0022,0.38,0.0019,0.41,0.0015,0.41,0.0014,0.54,0.0023,0.43,0.0014,0.37,0.0018,0.38,0.0019,0.37,0.0016,0.4,0.0014,0.4,0.0022,0.39,0.0019,0.38,0.0025,0.43,0.0014,0.54,0.0023,0.43,0.0014,0.37,0.0018,0.38,0.0019,0.37,0.0016,0.4,0.0014,0.4,0.0022,0.39,0.0019,0.38,0.0025,0.43
300,0.002,0.39,0.0014,0.47,0.0018,0.36,0.0018,0.39,0.0011,0.38,0.0013,0.34,0.00081,0.35,0.0019,0.34,0.0017,0.38,0.0022,0.35,0.0013,0.42,0.0012,0.38,0.0009,0.35,0.0014,0.37,0.0019,0.37,0.0013,0.39,0.00087,0.39,0.0017,0.38,0.0013,0.37,0.0017,0.38,0.0013,0.42,0.0012,0.38,0.0009,0.35,0.0014,0.37,0.0019,0.37,0.0013,0.39,0.00087,0.39,0.0017,0.38,0.0013,0.37,0.0017,0.38
400,0.0016,0.35,0.0013,0.33,0.00058,0.34,0.0014,0.37,0.00092,0.35,0.00074,0.33,0.00081,0.35,0.001,0.31,0.0011,0.34,0.0009,0.34,0.0013,0.39,0.0014,0.36,0.00065,0.34,0.00096,0.36,0.0015,0.35,0.0012,0.39,0.00097,0.38,0.0011,0.35,0.00073,0.36,0.0015,0.38,0.0013,0.39,0.0014,0.36,0.00065,0.34,0.00096,0.36,0.0015,0.35,0.0012,0.39,0.00097,0.38,0.0011,0.35,0.00073,0.36,0.0015,0.38
500,0.0013,0.36,0.00061,0.29,0.0015,0.32,0.0016,0.34,0.00086,0.34,0.00049,0.28,0.00076,0.34,0.0007,0.28,0.00085,0.31,0.0008,0.3,0.001,0.37,0.00061,0.35,0.00082,0.31,0.0014,0.37,0.0018,0.36,0.00089,0.38,0.00088,0.36,0.00069,0.35,0.00081,0.31,0.0021,0.37,0.001,0.37,0.00061,0.35,0.00082,0.31,0.0014,0.37,0.0018,0.36,0.00089,0.38,0.00088,0.36,0.00069,0.35,0.00081,0.31,0.0021,0.37
600,0.001,0.34,0.00041,0.28,0.00094,0.31,0.00088,0.31,0.00065,0.32,0.0007,0.26,0.00054,0.32,0.00058,0.25,0.00092,0.3,0.00062,0.29,0.0011,0.35,0.00029,0.36,0.00071,0.3,0.00058,0.35,0.0017,0.35,0.00077,0.35,0.00086,0.33,0.00058,0.34,0.00091,0.32,0.0023,0.38,0.0011,0.35,0.00029,0.36,0.00071,0.3,0.00058,0.35,0.0017,0.35,0.00077,0.35,0.00086,0.33,0.00058,0.34,0.00091,0.32,0.0023,0.38
700,0.00077,0.33,0.00054,0.25,0.00069,0.32,0.00058,0.31,0.00036,0.3,0.00051,0.25,0.00052,0.31,0.0006,0.23,0.00053,0.28,0.00064,0.26,0.0011,0.36,0.00038,0.3,0.00068,0.32,0.00059,0.32,0.00077,0.36,0.00051,0.35,0.0007,0.31,0.00042,0.3,0.00048,0.3,0.0016,0.36,0.0011,0.36,0.00038,0.3,0.00068,0.32,0.00059,0.32,0.00077,0.36,0.00051,0.35,0.0007,0.31,0.00042,0.3,0.00048,0.3,0.0016,0.36
800,0.00055,0.32,0.0005,0.22,0.00062,0.3,0.00071,0.29,0.0006,0.28,0.00043,0.24,0.00028,0.29,0.00066,0.2,0.00062,0.25,0.00049,0.25,0.00095,0.35,0.00047,0.27,0.00047,0.29,0.00046,0.3,0.001,0.32,0.00043,0.29,0.00044,0.28,0.00052,0.31,0.00058,0.25,0.0014,0.38,0.00095,0.35,0.00047,0.27,0.00047,0.29,0.00046,0.3,0.001,0.32,0.00043,0.29,0.00044,0.28,0.00052,0.31,0.00058,0.25,0.0014,0.38
900,0.00046,0.29,0.00025,0.17,0.00067,0.27,0.00052,0.32,0.00037,0.24,0.00032,0.22,0.00029,0.28,0.00056,0.2,0.00036,0.23,0.00062,0.23,0.00086,0.35,0.00031,0.28,0.00041,0.27,0.00042,0.31,0.00053,0.32,0.0003,0.29,0.00054,0.26,0.00036,0.3,0.0005,0.24,0.0017,0.39,0.00086,0.35,0.00031,0.28,0.00041,0.27,0.00042,0.31,0.00053,0.32,0.0003,0.29,0.00054,0.26,0.00036,0.3,0.0005,0.24,0.0017,0.39
