iteration_normalized,iteration,loss,rel_l2_error
0,0,0.00062,1.1
0.0093075205,100,0.013,0.77
0.018615041,200,0.011,0.066
0.0279225614,300,0.0028,0.026
0.0372300819,400,0.0011,0.018
0.0465376024,500,0.001,0.015
0.0558451229,600,0.00042,0.018
0.0651526433,700,0.00038,0.013
0.0744601638,800,0.00022,0.014
0.0837676843,900,0.00021,0.011
0.0930752048,1000,0.00011,0.0098
0.1023827252,1100,0.00014,0.0089
0.1116902457,1200,0.00014,0.0096
0.1209977662,1300,0.00015,0.0085
0.1303052867,1400,0.0002,0.0084
0.1396128071,1500,0.00019,0.012
0.1489203276,1600,7.6e-05,0.0088
0.1582278481,1700,0.00015,0.0072
0.1675353686,1800,0.00017,0.0081
0.1768428891,1900,8.2e-05,0.014
0.1861504095,2000,0.00012,0.0065
0.19545793,2100,0.00014,0.011
0.2047654505,2200,0.00018,0.0063
0.214072971,2300,0.00012,0.0058
0.2233804914,2400,6.3e-05,0.006
0.2326880119,2500,9.7e-05,0.0055
0.2419955324,2600,0.00011,0.0043
0.2513030529,2700,9e-05,0.0066
0.2606105733,2800,8.5e-05,0.0067
0.2699180938,2900,0.00011,0.0057
0.2792256143,3000,7.2e-05,0.0061
0.2885331348,3100,8.1e-05,0.0079
0.2978406552,3200,6.7e-05,0.0066
0.3071481757,3300,3.3e-05,0.0062
0.3164556962,3400,8.9e-05,0.0069
0.3257632167,3500,6.6e-05,0.0056
0.3350707372,3600,7.5e-05,0.0072
0.3443782576,3700,4.4e-05,0.0035
0.3536857781,3800,4.6e-05,0.0043
0.3629932986,3900,7.1e-05,0.0076
0.3723008191,4000,4.1e-05,0.0045
0.3816083395,4100,6.1e-05,0.0032
0.39091586,4200,4.5e-05,0.01
0.4002233805,4300,5.9e-05,0.0062
0.409530901,4400,3.8e-05,0.0073
0.4188384214,4500,5.6e-05,0.0049
0.4281459419,4600,5e-05,0.0037
0.4374534624,4700,5.1e-05,0.0033
0.4467609829,4800,2.4e-05,0.0047
0.4560685034,4900,4e-05,0.0064
0.4653760238,5000,2.3e-05,0.0026
0.4746835443,5100,4.3e-05,0.0039
0.4839910648,5200,3.5e-05,0.0054
0.4932985853,5300,3.9e-05,0.0027
0.5026061057,5400,3.9e-05,0.0075
0.5119136262,5500,3.4e-05,0.0031
0.5212211467,5600,3.5e-05,0.0036
0.5305286672,5700,2.8e-05,0.0069
0.5398361876,5800,3.2e-05,0.0048
0.5491437081,5900,3.6e-05,0.0033
0.5584512286,6000,3.1e-05,0.0052
0.5677587491,6100,3.4e-05,0.0021
0.5770662695,6200,3.4e-05,0.0057
0.58637379,6300,6.2e-05,0.0055
0.5956813105,6400,3.2e-05,0.0021
0.604988831,6500,2.6e-05,0.0056
0.6142963515,6600,3.9e-05,0.0055
0.6236038719,6700,3.3e-05,0.0037
0.6329113924,6800,3.2e-05,0.0029
0.6422189129,6900,3.1e-05,0.0058
0.6515264334,7000,2.4e-05,0.0023
0.6608339538,7100,3.5e-05,0.01
0.6701414743,7200,3e-05,0.0026
0.6794489948,7300,1.2e-05,0.0048
0.6887565153,7400,1.5e-05,0.0046
0.6980640357,7500,1.4e-05,0.0033
0.7073715562,7600,1.6e-05,0.0021
0.7166790767,7700,1.5e-05,0.0053
0.7259865972,7800,1.8e-05,0.0041
0.7352941176,7900,1.8e-05,0.0027
0.7446016381,8000,1.4e-05,0.0029
0.7539091586,8100,1.8e-05,0.0044
0.7632166791,8200,1.4e-05,0.0079
0.7725241996,8300,3.3e-05,0.0069
0.78183172,8400,1.8e-05,0.0019
0.7911392405,8500,1.3e-05,0.0056
0.800446761,8600,1.3e-05,0.005
0.8097542815,8700,1.4e-05,0.0028
0.8190618019,8800,1.2e-05,0.0046
0.8283693224,8900,1.5e-05,0.0039
0.8376768429,9000,1.8e-05,0.0033
0.8469843634,9100,1.4e-05,0.0036
0.8562918838,9200,1.9e-05,0.0041
0.8655994043,9300,1.6e-05,0.0048
0.8749069248,9400,1.7e-05,0.0037
0.8842144453,9500,1.8e-05,0.0036
0.8935219657,9600,1.9e-05,0.0043
0.9028294862,9700,2.2e-05,0.0028
0.9121370067,9800,7.9e-06,0.0051
0.9214445272,9900,1.8e-05,0.0071
0.9308451229,10001,3.072105e-05,0.002680966
0.9400595681,10100,1.317725e-05,0.001278249
0.9493670886,10200,4.626923e-06,0.0008719058
0.9586746091,10300,1.904891e-06,0.0005093684
0.9679821296,10400,1.067064e-06,0.0003027629
0.97728965,10500,7.781745e-07,0.0003075231
0.9865971705,10600,4.241112e-07,0.0001944529
0.995904691,10700,2.06311e-07,0.0001699645
1,10744,2.06311e-07,0.0001612
