iteration,loss,rel_l2_error
0.0,0.29,1.3
100.0,0.023,0.58
200.0,0.011,0.14
300.0,0.0023,0.052
400.0,0.0016,0.045
500.0,0.00059,0.055
600.0,0.00091,0.036
700.0,0.00056,0.035
800.0,0.00065,0.039
900.0,0.00033,0.072
1000.0,0.00036,0.038
1100.0,0.00032,0.035
1200.0,0.00032,0.029
1300.0,0.0005,0.047
1400.0,0.00022,0.019
1500.0,0.00044,0.017
1600.0,0.0004,0.035
1700.0,0.00038,0.02
1800.0,0.00025,0.02
1900.0,0.00023,0.022
2000.0,0.00023,0.048
2100.0,0.00029,0.015
2200.0,0.00021,0.034
2300.0,0.00025,0.022
2400.0,0.00024,0.011
2500.0,0.00028,0.022
2600.0,0.0002,0.0095
2700.0,0.00017,0.0095
2800.0,0.00019,0.019
2900.0,0.00018,0.0094
3000.0,0.00011,0.014
3100.0,0.00023,0.023
3200.0,0.00022,0.0097
3300.0,0.00016,0.043
3400.0,0.00011,0.013
3500.0,0.00015,0.0086
3600.0,9.6e-05,0.028
3700.0,0.00011,0.018
3800.0,9.1e-05,0.0085
3900.0,0.00017,0.017
4000.0,9.3e-05,0.011
4100.0,5.8e-05,0.016
4200.0,0.0001,0.0043
4300.0,0.00016,0.011
4400.0,0.00011,0.0098
4500.0,8e-05,0.0056
4600.0,8e-05,0.022
4700.0,4.1e-05,0.0057
4800.0,8.1e-05,0.016
4900.0,5.4e-05,0.016
5000.0,4.6e-05,0.029
5100.0,5.9e-05,0.015
5200.0,5.4e-05,0.009
5300.0,4.8e-05,0.0099
5400.0,8e-05,0.018
5500.0,4.8e-05,0.027
5600.0,7.6e-05,0.022
5700.0,3.9e-05,0.0038
5800.0,4.8e-05,0.0065
5900.0,5.3e-05,0.0054
6000.0,4.2e-05,0.0033
6100.0,4.1e-05,0.011
6200.0,6.6e-05,0.014
6300.0,6.8e-05,0.0063
6400.0,0.00013,0.17
6500.0,8.9e-05,0.0054
6600.0,4.2e-05,0.0049
6700.0,7.3e-05,0.0065
6800.0,3e-05,0.0035
6900.0,5.7e-05,0.0039
7000.0,3.3e-05,0.0038
7100.0,4.5e-05,0.0096
7200.0,4.7e-05,0.0066
7300.0,4.2e-05,0.0096
7400.0,2.8e-05,0.0083
7500.0,5.1e-05,0.0067
7600.0,4.1e-05,0.0045
7700.0,3.7e-05,0.017
7800.0,4e-05,0.015
7900.0,3.5e-05,0.01
8000.0,0.00067,0.2
8100.0,3.4e-05,0.0038
8200.0,3.7e-05,0.0022
8300.0,4.3e-05,0.0041
8400.0,3e-05,0.004
8500.0,1.9e-05,0.006
8600.0,2.1e-05,0.0071
8700.0,3.7e-05,0.0074
8800.0,8.3e-05,0.04
8900.0,4.6e-05,0.0026
9000.0,3.9e-05,0.0052
9100.0,4.1e-05,0.0039
9200.0,4e-05,0.0075
9300.0,4.5e-05,0.015
9400.0,2.8e-05,0.0038
9500.0,2.5e-05,0.0036
9600.0,3.2e-05,0.0048
9700.0,2.7e-05,0.0034
9800.0,2.7e-05,0.009
9900.0,2.8e-05,0.0042
10001.0,4.05377e-05,0.003062893
10100.0,1.743846e-05,0.001378963
10200.0,1.014179e-05,0.001416337
10300.0,5.023418e-06,0.0006365642
10400.0,1.957169e-06,0.0004202218
10500.0,9.921862e-07,0.0003542505
10600.0,7.302305e-07,0.0002770697
10640.0,7.302305e-07,0.0002844
