iteration,PINN__seed2__rel_l2_error,PINN__seed3__rel_l2_error,PINN__seed20__rel_l2_error,PINN__seed42__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed123__rel_l2_error,PINN__seed456__rel_l2_error,PINN__seed487__rel_l2_error,PINN__seed578__rel_l2_error,PINN__seed965__rel_l2_error,PINN-RAR__seed2__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed20__rel_l2_error,PINN-RAR__seed42__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed123__rel_l2_error,PINN-RAR__seed456__rel_l2_error,PINN-RAR__seed487__rel_l2_error,PINN-RAR__seed578__rel_l2_error,PINN-RAR__seed965__rel_l2_error,QPINN__seed2__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed20__rel_l2_error,QPINN__seed42__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed123__rel_l2_error,QPINN__seed456__rel_l2_error,QPINN__seed487__rel_l2_error,QPINN__seed578__rel_l2_error,QPINN__seed965__rel_l2_error,QPINN-RAR__seed2__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed20__rel_l2_error,QPINN-RAR__seed42__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed123__rel_l2_error,QPINN-RAR__seed456__rel_l2_error,QPINN-RAR__seed487__rel_l2_error,QPINN-RAR__seed578__rel_l2_error,QPINN-RAR__seed965__rel_l2_error
0,0.81,0.88,0.95,1.5,1.0,1.2,1.1,0.89,0.85,1.3,0.81,0.88,0.95,1.5,1.0,1.2,1.1,0.89,0.85,1.3,1.0,1.0,1.1,1.0,0.96,1.0,0.98,1.0,1.3,1.0,1.0,1.0,1.1,0.99,1.0,1.0,1.0,1.0,1.2,0.99
100,0.27,0.29,0.28,0.58,0.26,0.4,0.13,0.41,0.12,0.58,0.27,0.29,0.28,0.58,0.26,0.4,0.13,0.41,0.12,0.58,0.29,0.33,0.29,0.8,0.31,0.36,0.45,0.36,0.59,0.76,0.39,0.2,0.77,0.52,0.86,0.38,0.64,0.52,0.52,0.17
200,0.076,0.15,0.067,0.076,0.14,0.11,0.067,0.078,0.054,0.14,0.076,0.15,0.067,0.076,0.14,0.11,0.067,0.078,0.054,0.14,0.062,0.071,0.098,0.2,0.098,0.057,0.1,0.13,0.21,0.18,0.073,0.062,0.066,0.073,0.12,0.077,0.093,0.16,0.092,0.075
300,0.067,0.053,0.061,0.045,0.075,0.035,0.048,0.066,0.034,0.052,0.067,0.053,0.061,0.045,0.075,0.035,0.048,0.066,0.034,0.052,0.035,0.035,0.04,0.1,0.076,0.023,0.048,0.048,0.05,0.063,0.028,0.029,0.026,0.047,0.067,0.027,0.051,0.051,0.032,0.048
400,0.033,0.061,0.037,0.059,0.067,0.051,0.06,0.027,0.033,0.045,0.033,0.061,0.037,0.059,0.067,0.051,0.06,0.027,0.033,0.045,0.02,0.029,0.023,0.054,0.047,0.029,0.026,0.024,0.042,0.029,0.017,0.02,0.018,0.032,0.035,0.018,0.025,0.022,0.031,0.027
500,0.033,0.055,0.043,0.03,0.057,0.051,0.037,0.057,0.032,0.055,0.033,0.055,0.043,0.03,0.057,0.051,0.037,0.057,0.032,0.055,0.02,0.026,0.017,0.027,0.031,0.015,0.019,0.018,0.025,0.019,0.012,0.018,0.015,0.02,0.024,0.016,0.019,0.017,0.018,0.018
600,0.034,0.045,0.042,0.041,0.051,0.024,0.026,0.032,0.026,0.036,0.034,0.045,0.042,0.041,0.051,0.024,0.026,0.032,0.026,0.036,0.021,0.019,0.02,0.027,0.024,0.016,0.023,0.015,0.035,0.021,0.011,0.012,0.018,0.028,0.019,0.016,0.017,0.023,0.015,0.017
700,0.042,0.04,0.026,0.022,0.035,0.05,0.038,0.023,0.021,0.035,0.042,0.04,0.026,0.022,0.035,0.05,0.038,0.023,0.021,0.035,0.023,0.014,0.02,0.03,0.028,0.016,0.015,0.014,0.016,0.018,0.016,0.014,0.013,0.023,0.024,0.02,0.015,0.013,0.013,0.015
800,0.031,0.035,0.022,0.085,0.03,0.035,0.043,0.025,0.019,0.039,0.031,0.035,0.022,0.085,0.03,0.035,0.043,0.025,0.019,0.039,0.016,0.014,0.013,0.025,0.014,0.013,0.011,0.014,0.02,0.012,0.0085,0.011,0.014,0.025,0.013,0.014,0.016,0.013,0.013,0.012
900,0.031,0.044,0.027,0.023,0.056,0.044,0.037,0.021,0.023,0.072,0.031,0.044,0.027,0.023,0.056,0.044,0.037,0.021,0.023,0.072,0.013,0.011,0.014,0.02,0.016,0.014,0.011,0.012,0.015,0.012,0.0091,0.012,0.011,0.016,0.02,0.016,0.012,0.0098,0.011,0.011
