iteration,DV__seed2__loss,DV__seed2__rel_l2_error,DV__seed3__loss,DV__seed3__rel_l2_error,DV__seed20__loss,DV__seed20__rel_l2_error,DV__seed42__loss,DV__seed42__rel_l2_error,DV__seed88__loss,DV__seed88__rel_l2_error,DV__seed123__loss,DV__seed123__rel_l2_error,DV__seed456__loss,DV__seed456__rel_l2_error,DV__seed487__loss,DV__seed487__rel_l2_error,DV__seed578__loss,DV__seed578__rel_l2_error,DV__seed965__loss,DV__seed965__rel_l2_error,PINN__seed2__loss,PINN__seed2__rel_l2_error,PINN__seed3__loss,PINN__seed3__rel_l2_error,PINN__seed20__loss,PINN__seed20__rel_l2_error,PINN__seed42__loss,PINN__seed42__rel_l2_error,PINN__seed88__loss,PINN__seed88__rel_l2_error,PINN__seed123__loss,PINN__seed123__rel_l2_error,PINN__seed456__loss,PINN__seed456__rel_l2_error,PINN__seed487__loss,PINN__seed487__rel_l2_error,PINN__seed578__loss,PINN__seed578__rel_l2_error,PINN__seed965__loss,PINN__seed965__rel_l2_error,pinn-rar-s__seed2__loss,pinn-rar-s__seed2__rel_l2_error,pinn-rar-s__seed3__loss,pinn-rar-s__seed3__rel_l2_error,pinn-rar-s__seed20__loss,pinn-rar-s__seed20__rel_l2_error,pinn-rar-s__seed42__loss,pinn-rar-s__seed42__rel_l2_error,pinn-rar-s__seed88__loss,pinn-rar-s__seed88__rel_l2_error,pinn-rar-s__seed123__loss,pinn-rar-s__seed123__rel_l2_error,pinn-rar-s__seed456__loss,pinn-rar-s__seed456__rel_l2_error,pinn-rar-s__seed487__loss,pinn-rar-s__seed487__rel_l2_error,pinn-rar-s__seed578__loss,pinn-rar-s__seed578__rel_l2_error,pinn-rar-s__seed965__loss,pinn-rar-s__seed965__rel_l2_error
0,2.4e-05,1.0,7.9e-05,1.0,0.00062,1.1,0.00045,0.99,0.00036,1.0,0.0016,1.0,0.0012,1.0,9.7e-06,1.0,4.8e-05,1.2,2.5e-05,0.99,0.0044,0.81,0.0006,0.88,0.17,0.95,0.21,1.5,0.026,1.0,0.099,1.2,0.0055,1.1,0.022,0.89,0.04,0.85,0.29,1.3,0.0044,0.81,0.0006,0.88,0.17,0.95,0.21,1.5,0.026,1.0,0.099,1.2,0.0055,1.1,0.022,0.89,0.04,0.85,0.29,1.3
100,0.04,0.39,0.053,0.2,0.013,0.77,0.021,0.52,0.015,0.86,0.067,0.38,0.0098,0.64,0.066,0.52,0.026,0.52,0.075,0.17,0.0082,0.27,0.012,0.29,0.017,0.28,0.012,0.58,0.038,0.26,0.04,0.4,0.036,0.13,0.039,0.41,0.0046,0.12,0.023,0.58,0.0082,0.27,0.012,0.29,0.017,0.28,0.012,0.58,0.038,0.26,0.04,0.4,0.036,0.13,0.039,0.41,0.0046,0.12,0.023,0.58
200,0.011,0.073,0.011,0.062,0.011,0.066,0.021,0.073,0.012,0.12,0.016,0.077,0.011,0.093,0.01,0.16,0.014,0.092,0.021,0.075,0.00093,0.076,0.0045,0.15,0.0048,0.067,0.012,0.076,0.0098,0.14,0.0053,0.11,0.0071,0.067,0.0023,0.078,0.0021,0.054,0.011,0.14,0.00093,0.076,0.0045,0.15,0.0048,0.067,0.012,0.076,0.0098,0.14,0.0053,0.11,0.0071,0.067,0.0023,0.078,0.0021,0.054,0.011,0.14
300,0.0045,0.028,0.0057,0.029,0.0028,0.026,0.0053,0.047,0.0021,0.067,0.0052,0.027,0.005,0.051,0.0049,0.051,0.0061,0.032,0.0052,0.048,0.00075,0.067,0.0022,0.053,0.0025,0.061,0.002,0.045,0.0047,0.075,0.0028,0.035,0.0062,0.048,0.0013,0.066,0.0015,0.034,0.0023,0.052,0.00075,0.067,0.0022,0.053,0.0025,0.061,0.002,0.045,0.0047,0.075,0.0028,0.035,0.0062,0.048,0.0013,0.066,0.0015,0.034,0.0023,0.052
400,0.0012,0.017,0.0016,0.02,0.0011,0.018,0.0021,0.032,0.00069,0.035,0.0022,0.018,0.0021,0.025,0.0029,0.022,0.002,0.031,0.0037,0.027,0.00072,0.033,0.001,0.061,0.00082,0.037,0.0013,0.059,0.0036,0.067,0.0017,0.051,0.0032,0.06,0.0012,0.027,0.0014,0.033,0.0016,0.045,0.00072,0.033,0.001,0.061,0.00082,0.037,0.0013,0.059,0.0036,0.067,0.0017,0.051,0.0032,0.06,0.0012,0.027,0.0014,0.033,0.0016,0.045
500,0.00052,0.012,0.0015,0.018,0.001,0.015,0.0016,0.02,0.00079,0.024,0.0014,0.016,0.0012,0.019,0.0021,0.017,0.0014,0.018,0.0018,0.018,0.00076,0.033,0.00091,0.055,0.00078,0.043,0.0009,0.03,0.002,0.057,0.0011,0.051,0.0033,0.037,0.00072,0.057,0.00083,0.032,0.00059,0.055,0.00076,0.033,0.00091,0.055,0.00078,0.043,0.0009,0.03,0.002,0.057,0.0011,0.051,0.0033,0.037,0.00072,0.057,0.00083,0.032,0.00059,0.055
600,0.00052,0.011,0.00091,0.012,0.00042,0.018,0.0011,0.028,0.00059,0.019,0.00056,0.016,0.0008,0.017,0.00084,0.023,0.00058,0.015,0.0013,0.017,0.00046,0.034,0.00081,0.045,0.0006,0.042,0.00087,0.041,0.0014,0.051,0.00048,0.024,0.0026,0.026,0.00052,0.032,0.00055,0.026,0.00091,0.036,0.00046,0.034,0.00081,0.045,0.0006,0.042,0.00087,0.041,0.0014,0.051,0.00048,0.024,0.0026,0.026,0.00052,0.032,0.00055,0.026,0.00091,0.036
700,0.00056,0.016,0.0012,0.014,0.00038,0.013,0.0013,0.023,0.00061,0.024,0.00039,0.02,0.0006,0.015,0.00046,0.013,0.00069,0.013,0.0011,0.015,0.0004,0.042,0.00099,0.04,0.00063,0.026,0.0011,0.022,0.0024,0.035,0.0005,0.05,0.0018,0.038,0.00052,0.023,0.00041,0.021,0.00056,0.035,0.0004,0.042,0.00099,0.04,0.00063,0.026,0.0011,0.022,0.0024,0.035,0.0005,0.05,0.0018,0.038,0.00052,0.023,0.00041,0.021,0.00056,0.035
800,0.00064,0.0085,0.00084,0.011,0.00022,0.014,0.00081,0.025,0.00022,0.013,0.00027,0.014,0.00054,0.016,0.00062,0.013,0.00045,0.013,0.00066,0.012,0.0004,0.031,0.00037,0.035,0.00045,0.022,0.0006,0.085,0.0019,0.03,0.00077,0.035,0.0016,0.043,0.00041,0.025,0.00048,0.019,0.00065,0.039,0.0004,0.031,0.00037,0.035,0.00045,0.022,0.0006,0.085,0.0019,0.03,0.00077,0.035,0.0016,0.043,0.00041,0.025,0.00048,0.019,0.00065,0.039
900,0.00038,0.0091,0.0004,0.012,0.00021,0.011,0.00042,0.016,0.0005,0.02,0.00039,0.016,0.0004,0.012,0.00044,0.0098,0.00038,0.011,0.00069,0.011,0.00035,0.031,0.0005,0.044,0.00045,0.027,0.00055,0.023,0.0014,0.056,0.00056,0.044,0.001,0.037,0.00048,0.021,0.00031,0.023,0.00033,0.072,0.00035,0.031,0.0005,0.044,0.00045,0.027,0.00055,0.023,0.0014,0.056,0.00056,0.044,0.001,0.037,0.00048,0.021,0.00031,0.023,0.00033,0.072
