iteration_normalized,iteration,loss,rel_l2_error
0,0,0.025,1.3
0.0063411541,100,0.0045,0.72
0.0126823082,200,0.0033,0.68
0.0190234623,300,0.003,0.62
0.0253646164,400,0.003,0.6
0.0317057705,500,0.0044,0.58
0.0380469245,600,0.0064,0.54
0.0443880786,700,0.0052,0.5
0.0507292327,800,0.0052,0.43
0.0570703868,900,0.0042,0.4
0.0634115409,1000,0.0054,0.4
0.069752695,1100,0.003,0.38
0.0760938491,1200,0.0038,0.38
0.0824350032,1300,0.0026,0.36
0.0887761573,1400,0.0053,0.34
0.0951173114,1500,0.0041,0.35
0.1014584654,1600,0.0021,0.33
0.1077996195,1700,0.005,0.31
0.1141407736,1800,0.0036,0.32
0.1204819277,1900,0.0024,0.3
0.1268230818,2000,0.0043,0.28
0.1331642359,2100,0.0033,0.36
0.13950539,2200,0.0024,0.3
0.1458465441,2300,0.0033,0.29
0.1521876982,2400,0.0022,0.28
0.1585288523,2500,0.0023,0.26
0.1648700063,2600,0.0038,0.25
0.1712111604,2700,0.0039,0.25
0.1775523145,2800,0.0023,0.26
0.1838934686,2900,0.0023,0.25
0.1902346227,3000,0.0033,0.22
0.1965757768,3100,0.0019,0.23
0.2029169309,3200,0.0019,0.22
0.209258085,3300,0.0027,0.22
0.2155992391,3400,0.0021,0.2
0.2219403932,3500,0.0025,0.2
0.2282815472,3600,0.0025,0.2
0.2346227013,3700,0.0025,0.2
0.2409638554,3800,0.0015,0.19
0.2473050095,3900,0.0019,0.18
0.2536461636,4000,0.0015,0.19
0.2599873177,4100,0.0023,0.2
0.2663284718,4200,0.0014,0.2
0.2726696259,4300,0.0016,0.19
0.27901078,4400,0.0018,0.19
0.2853519341,4500,0.0022,0.22
0.2916930881,4600,0.002,0.22
0.2980342422,4700,0.0015,0.17
0.3043753963,4800,0.0011,0.17
0.3107165504,4900,0.0021,0.18
0.3170577045,5000,0.0014,0.19
0.3233988586,5100,0.0017,0.18
0.3297400127,5200,0.0011,0.17
0.3360811668,5300,0.0021,0.2
0.3424223209,5400,0.00088,0.16
0.348763475,5500,0.0014,0.15
0.355104629,5600,0.001,0.17
0.3614457831,5700,0.0015,0.15
0.3677869372,5800,0.00081,0.15
0.3741280913,5900,0.0011,0.16
0.3804692454,6000,0.0021,0.17
0.3868103995,6100,0.0023,0.19
0.3931515536,6200,0.0013,0.16
0.3994927077,6300,0.0015,0.17
0.4058338618,6400,0.001,0.16
0.4121750159,6500,0.0013,0.16
0.4185161699,6600,0.00085,0.18
0.424857324,6700,0.0015,0.16
0.4311984781,6800,0.0013,0.18
0.4375396322,6900,0.0014,0.16
0.4438807863,7000,0.00064,0.16
0.4502219404,7100,0.0013,0.15
0.4565630945,7200,0.0017,0.16
0.4629042486,7300,0.0011,0.15
0.4692454027,7400,0.0011,0.14
0.4755865568,7500,0.00094,0.13
0.4819277108,7600,0.00078,0.14
0.4882688649,7700,0.0015,0.13
0.494610019,7800,0.00098,0.14
0.5009511731,7900,0.00078,0.14
0.5072923272,8000,0.0014,0.13
0.5136334813,8100,0.0015,0.14
0.5199746354,8200,0.00099,0.15
0.5263157895,8300,0.0015,0.15
0.5326569436,8400,0.0014,0.14
0.5389980977,8500,0.00091,0.14
0.5453392517,8600,0.0011,0.13
0.5516804058,8700,0.00081,0.13
0.5580215599,8800,0.001,0.14
0.564362714,8900,0.001,0.13
0.5707038681,9000,0.0014,0.13
0.5770450222,9100,0.0013,0.14
0.5833861763,9200,0.0016,0.13
0.5897273304,9300,0.00097,0.14
0.5960684845,9400,0.0012,0.13
0.6024096386,9500,0.00087,0.12
0.6087507926,9600,0.00075,0.13
0.6150919467,9700,0.0011,0.12
0.6214331008,9800,0.00079,0.12
0.6277742549,9900,0.0012,0.13
0.6341788205,10001,0.001700214,0.1209755
0.6404565631,10100,0.0006436449,0.07630662
0.6467977172,10200,0.0002950125,0.05246802
0.6531388713,10300,0.0001879373,0.04594491
0.6594800254,10400,0.0001369497,0.03715022
0.6658211795,10500,0.0001049808,0.03642537
0.6721623335,10600,8.209317e-05,0.03169804
0.6785034876,10700,6.771141e-05,0.02992326
0.6848446417,10800,5.712057e-05,0.03124468
0.6911857958,10900,4.809591e-05,0.02835556
0.6975269499,11000,4.317011e-05,0.02743753
0.703868104,11100,3.767388e-05,0.02640438
0.7102092581,11200,3.356912e-05,0.02638252
0.7165504122,11300,3.070052e-05,0.0263334
0.7228915663,11400,2.798368e-05,0.02607853
0.7292327204,11500,2.564918e-05,0.0243113
0.7355738744,11600,2.338009e-05,0.02518266
0.7419150285,11700,2.140439e-05,0.02530004
0.7482561826,11800,1.983366e-05,0.02617525
0.7545973367,11900,1.852822e-05,0.02525576
0.7609384908,12000,1.749464e-05,0.02497669
0.7672796449,12100,1.665503e-05,0.02432197
0.773620799,12200,1.583161e-05,0.0249917
0.7799619531,12300,1.500537e-05,0.02496136
0.7863031072,12400,1.416424e-05,0.02403648
0.7926442613,12500,1.352999e-05,0.02384651
0.7989854153,12600,1.279497e-05,0.02457084
0.8053265694,12700,1.232014e-05,0.02372538
0.8116677235,12800,1.167094e-05,0.02173924
0.8180088776,12900,1.113415e-05,0.02262582
0.8243500317,13000,1.048403e-05,0.02228472
0.8306911858,13100,9.96515e-06,0.02224931
0.8370323399,13200,9.510045e-06,0.0231848
0.843373494,13300,9.095424e-06,0.02371552
0.8497146481,13400,8.736351e-06,0.02115635
0.8560558022,13500,8.350345e-06,0.02133584
0.8623969562,13600,8.006562e-06,0.01821958
0.8687381103,13700,7.690489e-06,0.02049078
0.8750792644,13800,7.399178e-06,0.01850645
0.8814204185,13900,7.056187e-06,0.01850185
0.8877615726,14000,6.741326e-06,0.01840335
0.8941027267,14100,6.436924e-06,0.01786155
0.9004438808,14200,6.229468e-06,0.01816627
0.9067850349,14300,6.03679e-06,0.01668057
0.913126189,14400,5.841041e-06,0.01808785
0.9194673431,14500,5.65377e-06,0.01813783
0.9258084971,14600,5.484379e-06,0.01785409
0.9321496512,14700,5.302249e-06,0.01731649
0.9384908053,14800,5.165682e-06,0.01677307
0.9448319594,14900,4.950987e-06,0.0161418
0.9511731135,15000,4.758063e-06,0.01607424
0.9575142676,15100,4.555055e-06,0.01686716
0.9638554217,15200,4.393674e-06,0.0155763
0.9701965758,15300,4.249025e-06,0.0160157
0.9765377299,15400,4.122437e-06,0.01611107
0.982878884,15500,4.003825e-06,0.01557786
0.989220038,15600,3.908051e-06,0.01644053
0.9955611921,15700,3.813133e-06,0.01588298
1,15770,3.813133e-06,0.0159
