iteration,loss,rel_l2_error
0.0,3.2e-05,1.5
100.0,0.0018,0.77
200.0,0.0027,0.7
300.0,0.0025,0.61
400.0,0.0018,0.59
500.0,0.0024,0.58
600.0,0.002,0.55
700.0,0.0026,0.56
800.0,0.0032,0.57
900.0,0.0019,0.54
1000.0,0.0034,0.47
1100.0,0.0043,0.35
1200.0,0.0043,0.3
1300.0,0.0019,0.29
1400.0,0.0035,0.27
1500.0,0.0075,0.25
1600.0,0.0026,0.24
1700.0,0.0037,0.22
1800.0,0.0039,0.23
1900.0,0.0023,0.22
2000.0,0.0028,0.22
2100.0,0.0046,0.24
2200.0,0.0024,0.23
2300.0,0.0028,0.21
2400.0,0.0039,0.2
2500.0,0.0017,0.21
2600.0,0.0018,0.19
2700.0,0.0026,0.19
2800.0,0.0028,0.19
2900.0,0.002,0.18
3000.0,0.0021,0.19
3100.0,0.0033,0.19
3200.0,0.0031,0.18
3300.0,0.002,0.18
3400.0,0.0026,0.17
3500.0,0.003,0.18
3600.0,0.0023,0.18
3700.0,0.0023,0.18
3800.0,0.0018,0.16
3900.0,0.0023,0.17
4000.0,0.0015,0.17
4100.0,0.0013,0.16
4200.0,0.0021,0.17
4300.0,0.0029,0.17
4400.0,0.0013,0.16
4500.0,0.002,0.17
4600.0,0.0019,0.15
4700.0,0.0016,0.15
4800.0,0.0016,0.15
4900.0,0.00078,0.16
5000.0,0.0024,0.15
5100.0,0.00082,0.15
5200.0,0.0022,0.15
5300.0,0.0012,0.15
5400.0,0.0017,0.13
5500.0,0.00084,0.14
5600.0,0.0014,0.13
5700.0,0.0012,0.13
5800.0,0.0013,0.14
5900.0,0.0012,0.15
6000.0,0.00096,0.13
6100.0,0.0014,0.14
6200.0,0.00075,0.13
6300.0,0.00083,0.12
6400.0,0.0016,0.13
6500.0,0.0012,0.12
6600.0,0.0011,0.12
6700.0,0.0015,0.12
6800.0,0.00073,0.12
6900.0,0.00093,0.13
7000.0,0.00089,0.12
7100.0,0.0012,0.11
7200.0,0.00072,0.13
7300.0,0.00065,0.11
7400.0,0.001,0.12
7500.0,0.00077,0.12
7600.0,0.00081,0.11
7700.0,0.00062,0.1
7800.0,0.00061,0.11
7900.0,0.00067,0.11
8000.0,0.00077,0.11
8100.0,0.00084,0.11
8200.0,0.0009,0.11
8300.0,0.00074,0.1
8400.0,0.00059,0.096
8500.0,0.00056,0.096
8600.0,0.00053,0.099
8700.0,0.00062,0.11
8800.0,0.00042,0.1
8900.0,0.00054,0.098
9000.0,0.00044,0.1
9100.0,0.00068,0.11
9200.0,0.00054,0.11
9300.0,0.00056,0.1
9400.0,0.00054,0.1
9500.0,0.00052,0.097
9600.0,0.00073,0.094
9700.0,0.00054,0.089
9800.0,0.00042,0.089
9900.0,0.00055,0.09
10001.0,0.001111623,0.09256257
10100.0,0.0004274453,0.0684493
10200.0,0.000225345,0.05144501
10300.0,0.0001432805,0.04530961
10400.0,0.0001074326,0.04107921
10500.0,8.764606e-05,0.03950248
10600.0,7.14004e-05,0.04051775
10700.0,6.169711e-05,0.03672932
10800.0,5.368212e-05,0.04115812
10900.0,4.71831e-05,0.03846359
11000.0,4.240949e-05,0.03731335
11100.0,3.9149e-05,0.03659622
11200.0,3.645112e-05,0.03680683
11300.0,3.416156e-05,0.03328817
11400.0,3.189212e-05,0.03235636
11500.0,2.946404e-05,0.03278642
11600.0,2.783242e-05,0.03162117
11700.0,2.652748e-05,0.02937648
11800.0,2.484764e-05,0.02934906
11900.0,2.371643e-05,0.03110803
12000.0,2.247285e-05,0.03102002
12100.0,2.146467e-05,0.02992216
12200.0,2.022623e-05,0.0293285
12300.0,1.928058e-05,0.02932377
12400.0,1.845913e-05,0.03108736
12500.0,1.758085e-05,0.0312889
12600.0,1.686339e-05,0.02943271
12700.0,1.595574e-05,0.02889086
12800.0,1.523855e-05,0.0294495
12900.0,1.45714e-05,0.02804956
13000.0,1.379424e-05,0.02796425
13100.0,1.312277e-05,0.0288556
13200.0,1.252139e-05,0.02904803
13300.0,1.160018e-05,0.02786832
13400.0,1.092667e-05,0.02968181
13500.0,1.049629e-05,0.02775042
13600.0,9.991999e-06,0.02706847
13700.0,9.585629e-06,0.02696542
13800.0,9.248341e-06,0.02721039
13900.0,8.878812e-06,0.02760744
14000.0,8.404033e-06,0.02613551
14100.0,8.03888e-06,0.02707102
14200.0,7.641122e-06,0.02481666
14300.0,7.30367e-06,0.02559462
14400.0,7.069166e-06,0.02436022
14500.0,6.777826e-06,0.02404549
14600.0,6.490946e-06,0.02396708
14700.0,6.204941e-06,0.02498708
14800.0,5.956885e-06,0.02253732
14900.0,5.756659e-06,0.0240778
15000.0,5.563414e-06,0.02434339
15100.0,5.402015e-06,0.02383309
15200.0,5.275796e-06,0.02518979
15300.0,5.138569e-06,0.02263092
15400.0,4.990396e-06,0.02296527
15500.0,4.831546e-06,0.02334523
15600.0,4.68503e-06,0.02200726
15700.0,4.534177e-06,0.02277278
15800.0,4.429056e-06,0.02388773
15900.0,4.313207e-06,0.02233886
16000.0,4.21085e-06,0.02363425
16100.0,4.142621e-06,0.02297454
16200.0,4.082456e-06,0.02300067
16300.0,3.988062e-06,0.02288654
16400.0,3.884004e-06,0.02268239
16500.0,3.810055e-06,0.02120354
16600.0,3.715074e-06,0.0215217
16700.0,3.655538e-06,0.0201157
16733.0,3.655538e-06,0.0215
