iteration,PINN__seed1__loss,PINN__seed2__loss,PINN__seed3__loss,PINN__seed10__loss,PINN__seed42__loss,PINN__seed68__loss,PINN__seed79__loss,PINN__seed88__loss,PINN__seed203__loss,PINN__seed3407__loss,PINN-RAR__seed1__loss,PINN-RAR__seed2__loss,PINN-RAR__seed3__loss,PINN-RAR__seed10__loss,PINN-RAR__seed42__loss,PINN-RAR__seed68__loss,PINN-RAR__seed79__loss,PINN-RAR__seed88__loss,PINN-RAR__seed203__loss,PINN-RAR__seed3407__loss,QPINN__seed1__loss,QPINN__seed2__loss,QPINN__seed3__loss,QPINN__seed10__loss,QPINN__seed42__loss,QPINN__seed68__loss,QPINN__seed79__loss,QPINN__seed88__loss,QPINN__seed203__loss,QPINN__seed3407__loss,QPINN-RAR__seed1__loss,QPINN-RAR__seed2__loss,QPINN-RAR__seed3__loss,QPINN-RAR__seed10__loss,QPINN-RAR__seed42__loss,QPINN-RAR__seed68__loss,QPINN-RAR__seed79__loss,QPINN-RAR__seed88__loss,QPINN-RAR__seed203__loss,QPINN-RAR__seed3407__loss
0,0.0036,0.025,0.0028,0.02,0.0034,0.018,0.045,0.0034,0.19,0.01,0.0036,0.025,0.0028,0.02,0.0034,0.018,0.045,0.0034,0.19,0.01,1.8e-05,0.0001,5.9e-05,8.3e-06,4.5e-06,4.6e-05,0.00026,0.0047,5.3e-05,1.1e-05,0.00066,0.00047,0.0029,8.9e-05,3.2e-05,3.8e-05,0.00094,3.2e-06,0.013,5.7e-05
100,0.0061,0.0045,0.0032,0.0082,0.0042,0.0041,0.0087,0.0055,0.0056,0.0033,0.0061,0.0045,0.0032,0.0082,0.0042,0.0041,0.0087,0.0055,0.0056,0.0033,0.0057,0.0062,0.0029,0.0088,0.0032,0.0041,0.012,0.0034,0.0068,0.0033,0.0031,0.0032,0.0041,0.016,0.0018,0.0034,0.014,0.0047,0.0036,0.0049
200,0.0046,0.0033,0.0033,0.0035,0.0042,0.0048,0.0059,0.0052,0.0045,0.0048,0.0046,0.0033,0.0033,0.0035,0.0042,0.0048,0.0059,0.0052,0.0045,0.0048,0.0027,0.0046,0.0031,0.0053,0.0026,0.0029,0.0083,0.0022,0.0046,0.0057,0.0022,0.0043,0.0038,0.0052,0.0027,0.0025,0.0099,0.0033,0.0039,0.0058
300,0.0034,0.003,0.0042,0.0058,0.0046,0.0048,0.0061,0.0035,0.0035,0.0082,0.0034,0.003,0.0042,0.0058,0.0046,0.0048,0.0061,0.0035,0.0035,0.0082,0.0021,0.0022,0.0038,0.008,0.0027,0.0047,0.0034,0.0018,0.0056,0.0035,0.0022,0.0017,0.0044,0.0065,0.0025,0.0032,0.0077,0.0023,0.003,0.008
400,0.0028,0.003,0.0045,0.0045,0.0024,0.0033,0.0072,0.0041,0.0031,0.007,0.0028,0.003,0.0045,0.0045,0.0024,0.0033,0.0072,0.0041,0.0031,0.007,0.0025,0.0029,0.004,0.0065,0.0013,0.0028,0.0068,0.0027,0.0059,0.0065,0.0026,0.0039,0.0043,0.0061,0.0018,0.0036,0.0067,0.0065,0.0053,0.0087
500,0.0032,0.0044,0.0049,0.0033,0.0058,0.0052,0.0069,0.0042,0.0035,0.004,0.0032,0.0044,0.0049,0.0033,0.0058,0.0052,0.0069,0.0042,0.0035,0.004,0.003,0.0037,0.0048,0.0033,0.0029,0.0061,0.0061,0.0039,0.0049,0.0055,0.0042,0.0039,0.0033,0.0023,0.0024,0.0051,0.0065,0.0053,0.003,0.0093
600,0.0031,0.0064,0.0051,0.0026,0.0034,0.0027,0.0053,0.0024,0.0036,0.0065,0.0031,0.0064,0.0051,0.0026,0.0034,0.0027,0.0053,0.0024,0.0036,0.0065,0.0023,0.0041,0.0065,0.0066,0.0032,0.0032,0.0041,0.0012,0.003,0.007,0.0033,0.0043,0.0041,0.0045,0.002,0.0024,0.0059,0.0021,0.0026,0.013
700,0.0044,0.0052,0.0053,0.0043,0.0043,0.0068,0.0064,0.0045,0.0039,0.0058,0.0044,0.0052,0.0053,0.0043,0.0043,0.0068,0.0064,0.0045,0.0039,0.0058,0.0035,0.0035,0.0044,0.0053,0.0033,0.0056,0.0028,0.0026,0.0032,0.0058,0.0061,0.0039,0.006,0.003,0.0026,0.0057,0.0028,0.004,0.0027,0.0074
800,0.0041,0.0052,0.004,0.0028,0.0037,0.0025,0.005,0.002,0.0043,0.0073,0.0041,0.0052,0.004,0.0028,0.0037,0.0025,0.005,0.002,0.0043,0.0073,0.0026,0.0024,0.0033,0.0035,0.0026,0.0036,0.0023,0.0021,0.0026,0.0064,0.005,0.0027,0.0031,0.0047,0.0032,0.0058,0.0041,0.0027,0.0014,0.016
900,0.0057,0.0042,0.0048,0.0048,0.0034,0.0034,0.0033,0.0039,0.0043,0.0059,0.0057,0.0042,0.0048,0.0048,0.0034,0.0034,0.0033,0.0039,0.0043,0.0059,0.0026,0.0027,0.0046,0.0035,0.0054,0.0038,0.0031,0.0034,0.0051,0.0079,0.0032,0.0026,0.0025,0.0074,0.0019,0.0043,0.0047,0.003,0.0025,0.0096
1000,0.0031,0.0054,0.0079,0.0069,0.0037,0.0042,0.0031,0.005,0.0051,0.0025,0.0031,0.0054,0.0079,0.0069,0.0037,0.0042,0.0031,0.005,0.0051,0.0025,0.0028,0.0038,0.0049,0.004,0.0038,0.0053,0.0037,0.0039,0.0034,0.004,0.0041,0.0029,0.0056,0.0041,0.0034,0.0069,0.0039,0.0055,0.0035,0.002
