iteration,DV__seed1__loss,DV__seed1__rel_l2_error,DV__seed2__loss,DV__seed2__rel_l2_error,DV__seed3__loss,DV__seed3__rel_l2_error,DV__seed10__loss,DV__seed10__rel_l2_error,DV__seed42__loss,DV__seed42__rel_l2_error,DV__seed68__loss,DV__seed68__rel_l2_error,DV__seed79__loss,DV__seed79__rel_l2_error,DV__seed88__loss,DV__seed88__rel_l2_error,DV__seed203__loss,DV__seed203__rel_l2_error,DV__seed3407__loss,DV__seed3407__rel_l2_error,PINN__seed1__loss,PINN__seed1__rel_l2_error,PINN__seed2__loss,PINN__seed2__rel_l2_error,PINN__seed3__loss,PINN__seed3__rel_l2_error,PINN__seed10__loss,PINN__seed10__rel_l2_error,PINN__seed42__loss,PINN__seed42__rel_l2_error,PINN__seed68__loss,PINN__seed68__rel_l2_error,PINN__seed79__loss,PINN__seed79__rel_l2_error,PINN__seed88__loss,PINN__seed88__rel_l2_error,PINN__seed203__loss,PINN__seed203__rel_l2_error,PINN__seed3407__loss,PINN__seed3407__rel_l2_error,pinn-rar-s__seed1__loss,pinn-rar-s__seed1__rel_l2_error,pinn-rar-s__seed2__loss,pinn-rar-s__seed2__rel_l2_error,pinn-rar-s__seed3__loss,pinn-rar-s__seed3__rel_l2_error,pinn-rar-s__seed10__loss,pinn-rar-s__seed10__rel_l2_error,pinn-rar-s__seed42__loss,pinn-rar-s__seed42__rel_l2_error,pinn-rar-s__seed68__loss,pinn-rar-s__seed68__rel_l2_error,pinn-rar-s__seed79__loss,pinn-rar-s__seed79__rel_l2_error,pinn-rar-s__seed88__loss,pinn-rar-s__seed88__rel_l2_error,pinn-rar-s__seed203__loss,pinn-rar-s__seed203__rel_l2_error,pinn-rar-s__seed3407__loss,pinn-rar-s__seed3407__rel_l2_error
0,0.00066,1.6,0.00047,1.1,0.0029,1.1,8.9e-05,2.1,3.2e-05,1.5,3.8e-05,3.0,0.00094,1.1,3.2e-06,1.4,0.013,1.9,5.7e-05,1.7,0.0036,1.7,0.025,1.3,0.0028,1.8,0.02,1.3,0.0034,0.99,0.018,1.4,0.045,2.0,0.0034,1.1,0.19,2.7,0.01,1.2,0.0036,1.7,0.025,1.3,0.0028,1.8,0.02,1.3,0.0034,0.99,0.018,1.4,0.045,2.0,0.0034,1.1,0.19,2.7,0.01,1.2
100,0.0031,0.8,0.0032,0.81,0.0041,0.8,0.016,0.79,0.0018,0.77,0.0034,0.84,0.014,0.76,0.0047,0.77,0.0036,0.79,0.0049,0.75,0.0061,0.77,0.0045,0.72,0.0032,0.75,0.0082,0.71,0.0042,0.71,0.0041,0.73,0.0087,0.74,0.0055,0.74,0.0056,0.73,0.0033,0.75,0.0061,0.77,0.0045,0.72,0.0032,0.75,0.0082,0.71,0.0042,0.71,0.0041,0.73,0.0087,0.74,0.0055,0.74,0.0056,0.73,0.0033,0.75
200,0.0022,0.71,0.0043,0.73,0.0038,0.69,0.0052,0.68,0.0027,0.7,0.0025,0.77,0.0099,0.66,0.0033,0.72,0.0039,0.72,0.0058,0.72,0.0046,0.71,0.0033,0.68,0.0033,0.65,0.0035,0.6,0.0042,0.62,0.0048,0.67,0.0059,0.6,0.0052,0.65,0.0045,0.72,0.0048,0.72,0.0046,0.71,0.0033,0.68,0.0033,0.65,0.0035,0.6,0.0042,0.62,0.0048,0.67,0.0059,0.6,0.0052,0.65,0.0045,0.72,0.0048,0.72
300,0.0022,0.63,0.0017,0.61,0.0044,0.66,0.0065,0.57,0.0025,0.61,0.0032,0.7,0.0077,0.59,0.0023,0.63,0.003,0.67,0.008,0.69,0.0034,0.7,0.003,0.62,0.0042,0.55,0.0058,0.55,0.0046,0.56,0.0048,0.59,0.0061,0.49,0.0035,0.57,0.0035,0.64,0.0082,0.61,0.0034,0.7,0.003,0.62,0.0042,0.55,0.0058,0.55,0.0046,0.56,0.0048,0.59,0.0061,0.49,0.0035,0.57,0.0035,0.64,0.0082,0.61
400,0.0026,0.57,0.0039,0.59,0.0043,0.58,0.0061,0.53,0.0018,0.59,0.0036,0.53,0.0067,0.53,0.0065,0.6,0.0053,0.66,0.0087,0.69,0.0028,0.62,0.003,0.6,0.0045,0.5,0.0045,0.48,0.0024,0.53,0.0033,0.52,0.0072,0.44,0.0041,0.51,0.0031,0.57,0.007,0.59,0.0028,0.62,0.003,0.6,0.0045,0.5,0.0045,0.48,0.0024,0.53,0.0033,0.52,0.0072,0.44,0.0041,0.51,0.0031,0.57,0.007,0.59
500,0.0042,0.53,0.0039,0.6,0.0033,0.56,0.0023,0.52,0.0024,0.58,0.0051,0.44,0.0065,0.46,0.0053,0.48,0.003,0.68,0.0093,0.66,0.0032,0.5,0.0044,0.58,0.0049,0.43,0.0033,0.44,0.0058,0.49,0.0052,0.46,0.0069,0.41,0.0042,0.44,0.0035,0.52,0.004,0.54,0.0032,0.5,0.0044,0.58,0.0049,0.43,0.0033,0.44,0.0058,0.49,0.0052,0.46,0.0069,0.41,0.0042,0.44,0.0035,0.52,0.004,0.54
600,0.0033,0.52,0.0043,0.59,0.0041,0.56,0.0045,0.51,0.002,0.55,0.0024,0.37,0.0059,0.43,0.0021,0.36,0.0026,0.66,0.013,0.61,0.0031,0.43,0.0064,0.54,0.0051,0.38,0.0026,0.42,0.0034,0.43,0.0027,0.41,0.0053,0.43,0.0024,0.37,0.0036,0.54,0.0065,0.46,0.0031,0.43,0.0064,0.54,0.0051,0.38,0.0026,0.42,0.0034,0.43,0.0027,0.41,0.0053,0.43,0.0024,0.37,0.0036,0.54,0.0065,0.46
700,0.0061,0.5,0.0039,0.57,0.006,0.54,0.003,0.51,0.0026,0.56,0.0057,0.34,0.0028,0.42,0.004,0.31,0.0027,0.61,0.0074,0.52,0.0044,0.37,0.0052,0.5,0.0053,0.35,0.0043,0.38,0.0043,0.41,0.0068,0.35,0.0064,0.36,0.0045,0.29,0.0039,0.46,0.0058,0.42,0.0044,0.37,0.0052,0.5,0.0053,0.35,0.0043,0.38,0.0043,0.41,0.0068,0.35,0.0064,0.36,0.0045,0.29,0.0039,0.46,0.0058,0.42
800,0.005,0.5,0.0027,0.55,0.0031,0.54,0.0047,0.53,0.0032,0.57,0.0058,0.31,0.0041,0.33,0.0027,0.28,0.0014,0.57,0.016,0.44,0.0041,0.37,0.0052,0.43,0.004,0.33,0.0028,0.41,0.0037,0.38,0.0025,0.3,0.005,0.34,0.002,0.28,0.0043,0.45,0.0073,0.38,0.0041,0.37,0.0052,0.43,0.004,0.33,0.0028,0.41,0.0037,0.38,0.0025,0.3,0.005,0.34,0.002,0.28,0.0043,0.45,0.0073,0.38
900,0.0032,0.46,0.0026,0.55,0.0025,0.54,0.0074,0.51,0.0019,0.54,0.0043,0.3,0.0047,0.33,0.003,0.27,0.0025,0.56,0.0096,0.35,0.0057,0.31,0.0042,0.4,0.0048,0.33,0.0048,0.35,0.0034,0.33,0.0034,0.27,0.0033,0.32,0.0039,0.25,0.0043,0.45,0.0059,0.34,0.0057,0.31,0.0042,0.4,0.0048,0.33,0.0048,0.35,0.0034,0.33,0.0034,0.27,0.0033,0.32,0.0039,0.25,0.0043,0.45,0.0059,0.34
