equation,method,num_runs,mean_iteration,std_iteration
burgers_exact,PINN,10,641.5,340.705559
burgers_exact,PINN-RAR,10,750.3,360.149676
burgers_exact,QPINN,10,1200.6,622.087204
burgers_exact,QPINN-RAR,10,1140.4,360.468584
diffusion_exact,PINN,10,793.4,193.598209
diffusion_exact,PINN-RAR,10,890,449.011507
diffusion_exact,QPINN,10,595.6,381.450506
diffusion_exact,QPINN-RAR,10,768.9,262.837698
heat3d_exact,PINN,10,6019.8,1028.454698
heat3d_exact,PINN-RAR,10,5915.3,623.131705
heat3d_exact,QPINN,10,6081,1294.654394
heat3d_exact,QPINN-RAR,10,6924.4,842.80579
