equation,method,n,iteration_mean,iteration_std,loss_mean,loss_std,rel_l2_error_mean,rel_l2_error_std,run_seeds,run_ids,iteration_values,loss_values,rel_l2_error_values
burgers_exact,PINN,10,10641.5,340.7055588,1.87E-07,1.99E-07,0.00079011,0.000433157,3;20;57;73;88;487;672;954;3407;114514,2026-03-04_12-30-47-823036;2026-03-04_12-31-10-158015;2026-03-07_19-20-39-959801;2026-03-07_19-29-38-540975;2026-03-04_14-59-35-381960;2026-03-07_19-53-23-355232;2026-03-07_19-54-12-614860;2026-03-07_20-08-07-330389;2026-03-04_17-21-24-515660;2026-03-04_21-14-04-245602,10599;10355;10480;10892;10467;10937;10194;10695;10440;11356,1.086785e-07;2.187845e-07;1.094148e-07;4.929241e-08;3.779245e-07;3.58021e-08;6.734576e-07;1.640928e-07;9.393082e-08;4.234239e-08,0.0005438;0.001055;0.0006117;0.0004042;0.001372;0.0003294;0.001626;0.0008135;0.0007001;0.0004454
burgers_exact,PINN-RAR,10,10750.3,360.1496757,9.96E-08,7.85E-08,0.0006204,0.000204252,3;20;57;73;88;487;672;954;3407;114514,2026-03-04_12-30-32-844895;2026-03-04_12-31-24-748451;2026-03-07_19-20-29-063290;2026-03-07_19-29-24-926420;2026-03-04_14-59-20-532225;2026-03-07_19-53-33-714252;2026-03-07_19-53-57-348201;2026-03-07_20-07-57-701244;2026-03-04_17-21-12-162648;2026-03-04_21-13-46-889556,10530;10239;10415;11011;11183;10827;10534;11105;10443;11216,8.22623e-08;3.107277e-07;1.118519e-07;5.04956e-08;9.327101e-08;2.978412e-08;9.361014e-08;8.139447e-08;9.539255e-08;4.763272e-08,0.0006095;0.001009;0.0007367;0.0004475;0.0005978;0.0003083;0.0007931;0.0006907;0.0006104;0.000401
burgers_exact,QPINN,10,11200.6,622.0872036,7.67E-08,5.58E-08,0.00051279,0.000244033,3;20;57;73;88;487;672;954;3407;114514,2026-05-29_08-37-55-383314;2026-05-29_04-47-04-951937;2026-05-29_04-46-06-054742;2026-05-28_23-45-06-715202;2026-05-29_08-38-18-522265;2026-05-28_23-29-18-038117;2026-05-28_23-26-54-468855;2026-05-29_04-46-30-114543;2026-05-29_08-38-34-785765;2026-05-29_08-40-14-267740,11379;10473;10714;10790;11769;10791;12248;10718;11096;12028,3.579105e-08;7.74091e-08;6.915361e-08;6.725747e-08;4.548334e-08;9.072266e-08;2.819173e-08;2.095512e-07;1.218922e-07;2.162278e-08,0.0004029;0.0004043;0.0006339;0.0003762;0.0003918;0.000721;0.0002258;0.0009954;0.0007167;0.0002599
burgers_exact,QPINN-RAR,10,11140.4,360.4685839,6.05E-08,2.39E-08,0.00049559,0.000138044,3;20;57;73;88;487;672;954;3407;114514,2026-03-04_12-30-16-219587;2026-03-04_12-31-42-126693;2026-03-08_23-24-40-472008;2026-03-09_21-50-48-684255;2026-03-04_14-59-13-573289;2026-03-09_11-19-05-950058;2026-03-09_21-51-10-239025;2026-03-08_23-24-15-556707;2026-03-04_17-25-31-092991;2026-03-04_21-17-30-903472,11031;10520;11289;11692;11416;10954;11035;11620;10936;10911,4.674728e-08;5.222875e-08;2.243857e-08;3.023307e-08;7.896826e-08;5.666702e-08;1.022984e-07;6.684506e-08;7.665647e-08;7.165194e-08,0.000353;0.0003515;0.0004324;0.0002569;0.0005345;0.0005914;0.0006602;0.000555;0.0005812;0.0006398
diffusion_exact,PINN,10,10793.4,193.5982094,1.37E-06,9.00E-07,0.00029713,0.000107057,2;3;20;42;88;123;456;487;578;965,2026-03-02_21-04-55-912228;2026-03-02_23-13-12-651816;2026-03-03_16-36-02-382107;2026-03-02_17-59-08-221763;2026-03-03_18-45-05-627323;2026-03-02_20-53-44-313098;2026-03-03_11-58-06-804194;2026-03-07_11-53-42-420899;2026-03-07_20-19-27-158434;2026-03-07_20-19-00-746442,10828;10617;11043;10544;10747;11160;10823;10861;10671;10640,1.896956e-07;7.060443e-07;1.552301e-06;3.528477e-06;1.497919e-06;9.302758e-07;1.694472e-06;1.278384e-06;1.547888e-06;7.302305e-07,0.0001253;0.000194;0.0003029;0.0004588;0.0004362;0.0002606;0.0003837;0.000318;0.0002074;0.0002844
diffusion_exact,PINN-RAR,10,10890,449.0115069,1.65E-06,2.61E-06,0.000241407,0.000125851,2;3;20;42;88;123;456;487;578;965,2026-03-02_21-04-38-991152;2026-03-02_23-13-28-183606;2026-03-03_16-36-17-011144;2026-03-02_20-34-23-845697;2026-03-03_18-44-52-533533;2026-03-02_20-53-16-134275;2026-03-03_11-57-45-890934;2026-03-07_11-53-55-444978;2026-03-07_20-19-38-621659;2026-03-07_20-18-41-360219,10737;10817;10614;10605;11205;11254;11632;11365;10283;10388,1.9866e-07;3.780583e-07;1.356341e-06;1.811259e-06;3.905865e-07;7.6011e-07;4.02741e-07;3.874594e-07;8.85987e-06;1.912184e-06,9.787e-05;0.0001861;0.0003023;0.0003719;0.0001857;0.0002531;0.000129;0.0001454;0.0005115;0.0002312
diffusion_exact,QPINN,10,10595.6,381.4505065,1.28E-06,1.27E-06,0.00026508,0.000117404,2;3;20;42;88;123;456;487;578;965,2026-05-28_23-58-45-736200;2026-05-28_23-59-38-053995;2026-05-29_04-43-10-421500;2026-05-28_23-56-53-335158;2026-05-29_04-43-31-113043;2026-05-28_23-58-07-291236;2026-05-29_00-00-09-293839;2026-05-29_04-43-53-970386;2026-05-29_04-44-50-365992;2026-05-29_04-44-15-149916,10565;10429;10444;11440;10498;10210;10280;10342;11058;10690,8.875477e-07;7.410582e-07;1.749882e-06;8.640282e-07;1.253719e-06;1.041368e-06;4.715955e-06;8.121971e-07;4.223894e-07;3.319724e-07,0.0002562;0.0002063;0.0003699;0.0001857;0.0002615;0.0002339;0.0005472;0.000271;0.0001464;0.0001727
diffusion_exact,QPINN-RAR,10,10768.9,262.8376981,8.00E-07,6.55E-07,0.00020252,8.26E-05,2;3;20;42;88;123;456;487;578;965,2026-03-02_22-54-24-884886;2026-03-02_23-20-39-878534;2026-03-03_16-40-48-333879;2026-03-02_15-08-49-378795;2026-03-03_18-45-39-996859;2026-03-02_20-59-19-099482;2026-03-03_11-57-31-963091;2026-03-07_20-33-01-802015;2026-03-07_20-32-31-788380;2026-03-07_20-32-44-902105,10767;10466;10744;10839;11058;10946;10628;10401;11243;10597,6.811511e-07;1.104067e-06;2.06311e-07;1.166678e-06;5.094515e-07;3.354651e-07;7.380373e-07;2.414191e-06;2.266621e-07;6.209076e-07,0.0001462;0.0001848;0.0001612;0.0002765;0.0001859;0.0001797;0.0002579;0.0003867;0.0001099;0.0001364
heat3d_exact,PINN,10,16019.8,1028.454698,2.72E-06,1.31E-06,0.02803,0.010919203,1;2;3;10;42;68;79;88;203;3407,2026-03-05_17-04-56-947010;2026-03-07_18-32-40-983274;2026-03-05_17-58-03-236248;2026-03-11_11-00-38-053130;2026-03-07_18-32-30-174425;2026-03-07_18-17-58-241977;2026-03-07_11-55-44-330946;2026-03-05_17-52-55-299302;2026-03-07_18-33-35-960207;2026-03-05_17-55-13-902012,15447;17302;15966;16484;16159;15421;15205;14268;17810;16136,2.88895e-06;2.205289e-06;2.246635e-06;3.587895e-06;5.971394e-06;1.868926e-06;2.708186e-06;2.554366e-06;2.017855e-06;1.182658e-06,0.0244;0.0228;0.0217;0.037;0.0529;0.0132;0.0337;0.0256;0.0222;0.0268
heat3d_exact,PINN-RAR,10,15915.3,623.1317054,2.58E-06,1.75E-06,0.0203,0.005421562,1;2;3;10;42;68;79;88;203;3407,2026-03-05_17-05-21-499429;2026-03-07_18-32-56-353055;2026-03-05_17-57-11-012566;2026-03-11_10-59-08-269495;2026-03-07_18-32-15-779877;2026-03-07_18-18-03-087868;2026-03-07_11-55-00-703642;2026-03-05_17-52-25-600415;2026-03-07_18-33-22-482607;2026-03-05_17-55-27-744842,16064;15770;15701;15574;15124;17007;15448;15309;16636;16520,2.256478e-06;3.813133e-06;1.900478e-06;3.315377e-06;6.673964e-06;8.011569e-07;2.94533e-06;1.328651e-06;1.833857e-06;9.352511e-07,0.0195;0.0159;0.0218;0.0146;0.0297;0.012;0.0254;0.018;0.0213;0.0248
